,author,content,description,label,publishedAt,source_id,source_name,title,url,urlToImage
10,"Trent Baker, Trent Baker","During a Wednesday appearance on “Fox &amp; Friends,” White House press secretary Sarah Huckabee Sanders reacted to Democrats demanding Brett Kavanaugh release all documents relating to the Supreme Court nominee’s time in the Bush White House, saying the push… [+823 chars]","During a Wednesday appearance on “Fox & Friends,” White House press secretary Sarah Huckabee Sanders reacted to Democrats demanding Brett Kavanaugh release all documents relating to the Supreme Court nominee’s time in the Bush White House, saying the pushback…",right,2018-09-05T14:46:56Z,breitbart-news,Breitbart News,Sarah Huckabee Sanders on Kavanaugh Hearing: 'This Isn’t About Documents -- It's About Ridiculous Political Ploys',https://www.breitbart.com/video/2018/09/05/sarah-huckabee-sanders-on-kavanaugh-hearing-this-isnt-about-documents-its-about-ridiculous-political-ploys/,https://media.breitbart.com/media/2018/07/Sarah-Huckabee-Sanders.jpg
11,"Nate Church, Nate Church","Speaking at the George Washington University Law School, Justice Ginsburg told students that “the way it was, was right. The way it is, is wrong.” She called the “atmosphere” of her 96-3 voted confirmation “truly bipartisan.” “The vote on my confirmation was … [+945 chars]","Supreme Court Justice Ruth Bader Ginsburg made her disapproval known regarding the ""highly partisan show"" that took place during confirmation hearings for Brett Kavanaugh.",right,2018-09-14T00:32:18Z,breitbart-news,Breitbart News,Resistance Hero Ruth Bader Ginsburg Slams 'Highly Partisan' Kavanaugh Hearings,https://www.breitbart.com/big-government/2018/09/13/resistance-hero-ruth-bader-ginsburg-slams-highly-partisan-kavanaugh-hearings/,https://media.breitbart.com/media/2017/09/wi/ap/21/s00nrt-e1532958191589.jpg
12,"Joel B. Pollak, Joel B. Pollak","They began by trying to prevent the hearings from taking place at all, interrupting repeatedly and demanding votes on frivolous points of order. Then they praised the left-wing radical “protesters” who disrupted proceedings. Then they broke the rules and rele… [+3699 chars]","If you like what you've seen Democrats do in the Brett Kavanaugh hearings, you're going to love what they do if they win the 2018 midterm elections.",right,2018-09-21T12:24:45Z,breitbart-news,Breitbart News,Blue State Blues: Kavanaugh Circus Is a Preview of Democrats' Return to Power,https://www.breitbart.com/big-government/2018/09/21/blue-state-blues-brett-kavanaugh-circus-is-a-preview-of-democrats-return-to-power/,https://media.breitbart.com/media/2018/09/Brett-Kavanaugh-smear-Alex-Brandon.jpg
13,"Pam Key, Pam Key","Wednesday on Fox News Channel’s “The Daily Briefing,” Network judicial commentator Andrew Napolitano said if Republicans rush to confirm Brett Kavanaugh to the Supreme Court without allowing an investigation and his accuser Dr. Christine Blasey Ford to testif… [+689 chars]","Wednesday on Fox News Channel’s “The Daily Briefing,” Network judicial commentator Andrew Napolitano said if Republicans rush to confirm Brett Kavanaugh to the Supreme Court without allowing an investigation and his accuser Dr. Christine Blasey Ford to testif…",right,2018-09-19T21:59:55Z,breitbart-news,Breitbart News,Napolitano: If GOP Rushes Kavanaugh Confirmation There Will Be ‘Taint on His Skin’,https://www.breitbart.com/video/2018/09/19/napolitano-if-gop-rushes-kavanaugh-confirmation-there-will-be-taint-on-his-skin/,https://media.breitbart.com/media/2018/09/Napolitano.jpg
14,"Charles Hurt, Charles Hurt",Listening to failed politicians hijack the funerals of two such respected American heroes as John McCain and Aretha Franklin so they could smear the sitting president really tells you all you need to know about those washed-up has-beens. It was particularly s… [+3372 chars],It sure was nice to turn on the “Sunday shows” and finally get away from all the politics of this weekend’s funerals.,right,2018-09-04T20:44:19Z,breitbart-news,Breitbart News,"The Nuclear Option: McCain Funeral, Kavanaugh Hearings Prove No Low Is Too Low for DC Swamp",https://www.breitbart.com/big-government/2018/09/04/the-nuclear-option-mccain-funeral-kavanaugh-hearings-prove-no-low-is-too-low-for-dc-swamp/,https://media.breitbart.com/media/2018/05/nuclear-option.jpg
15,"Tony Lee, Tony Lee","“This is going to be a huge black cloud on top of Judge Kavanaugh’s career, the rest of his life,” Navarro told host Chris Cuomo. “It is going to be in his obituary, the fact that this allegation came through.” Lisa Banks, one of the lawyers for Kavanaugh acc… [+754 chars]",Never Trumper and CNN pundit Ana Navarro claimed on Wednesday evening that the sexual assault allegations against Supreme Court nominee Brett Kavanaugh will be “in his obituary” and “be a huge black cloud on top” of his career.,right,2018-09-20T07:32:37Z,breitbart-news,Breitbart News,"CNN’s Ana Navarro: Kavanaugh Allegations Will Be ‘in His Obituary,’ ‘Huge Black Cloud’",https://www.breitbart.com/big-government/2018/09/20/cnns-ana-navarro-kavanaugh-allegations-will-be-in-his-obituary-huge-black-cloud/,https://media.breitbart.com/media/2016/11/Ana-Navarro-ImWithHer.jpg
16,"Breitbart Podcasts, Breitbart Podcasts","A recent Katt Williams interview shows why he is successful in a capitalist system – just by breaking down how much it costs to feed a family of nine a meal. Also, Sonnie talks about the recent spat between Katt and Tiffany Haddish. Recent accusations against… [+799 chars]",Recent accusations against Supreme Court nominee Brett Kavanaugh illustrate what is at stake for the Democrats when it comes to control and pushing their agenda through the judiciary and not the legislative branch.,right,2018-09-19T15:26:57Z,breitbart-news,Breitbart News,"Sonnie Johnson: Katt, Kavanaugh, and Coming Home - Comprende?",https://www.breitbart.com/podcast/2018/09/19/katt-kavanaugh-coming-home-comprende/,https://media.breitbart.com/media/2018/05/bb-podcast-johnson-leadphoto.jpg
17,"Ben Kew, Ben Kew","“We are alumnae of Holton-Arms School, and we are writing in support of Dr. Christine Blasey Ford, a fellow Holton graduate,” reads the draft letter from alumnae of Holton-Arms, a private girls school in Bethesda, Maryland. “We believe Dr. Blasey Ford and are… [+1975 chars]","Actress Julia Louis-Dreyfus signed a letter in support of Dr. Christine Blasey Ford, who claims she was sexually assaulted by President Donald Trump's Supreme Court nominee Judge Brett Kavanaugh's while they were in high school.",right,2018-09-18T14:08:16Z,breitbart-news,Breitbart News,'Veep' Star Julia Louis-Dreyfus Signs Letter in Support of Brett Kavanaugh Accuser,https://www.breitbart.com/big-hollywood/2018/09/18/julia-louis-dreyfus-signs-letter-support-brett-kavanaugh-accuser/,https://media.breitbart.com/media/2018/09/Julia-Louis-Dreyfuskav1.jpg
18,"Pam Key, Pam Key","Tuesday at Brett Kavanaugh’s confirmation hearing for the Supreme Court, Sen. Richard Blumenthal (D-CT) said Kavanaugh would have an “asterisk” by his name unless he released all of his documents and allowed the hearing to be delayed because he was nominated … [+745 chars]","Tuesday at Brett Kavanaugh’s confirmation hearing for the Supreme Court, Sen. Richard Blumenthal (D-CT) said Kavanaugh would have an “asterisk” by his name unless he released all of his documents and allowed the hearing to be delayed because he was nominated …",right,2018-09-04T19:39:27Z,breitbart-news,Breitbart News,"Blumenthal to Kavanaugh: You Will Have an ‘Asterisk,' Appointed By an 'Unindicted Co-Conspirator' President",https://www.breitbart.com/video/2018/09/04/blumenthal-to-kavanaugh-you-will-have-an-asterisk-appointed-by-an-unindicted-co-conspirator-president/,https://media.breitbart.com/media/2018/07/Sen.-Richard-Blumenthal.jpg
19,"Michael Patrick Leahy, Michael Patrick Leahy","Breitbart News reached out to all ten with the following question as the hearings devolved into grandstanding and attempts to shut the hearing down by all the Democrat members of the committee, especially 2020 Democrat presidential contenders Sen. Cory Booker… [+1942 chars]",None of the ten Democrat senators up for re-election in 2018 in states won by Donald Trump in 2016 have commented publicly yet on the obstructionist antics of their Democrat colleagues on the Senate Judiciary Committee.,right,2018-09-04T18:08:44Z,breitbart-news,Breitbart News,Red State Democrat Senators Silent on Obstructionist Tactics at Kavanaugh Hearing,https://www.breitbart.com/big-government/2018/09/04/red-state-democrat-senators-silent-kavanaugh-hearing/,https://media.breitbart.com/media/2018/09/brett-kavanaugh-confirmation-stare-getty.jpg
20,"Dr. Susan Berry, Dr. Susan Berry","I want to be sure we're all clear about something that Brett Kavanaugh said in his confirmation hearings last week. He referred to birth-control pills as ""abortion-inducing drugs."" That set off a lot of alarm bells for me, and it should for you, too. — Hillar… [+3216 chars]","""I want to be sure we're all clear about something that Brett Kavanaugh said in his confirmation hearings last week,"" Clinton tweeted Wednesday morning. ""He referred to birth-control pills as 'abortion-inducing drugs.' That set off a lot of alarm bells for me…",right,2018-09-12T15:56:02Z,breitbart-news,Breitbart News,Hillary Clinton Pushes Kamala Harris’s Debunked Kavanaugh Birth Control Smear,https://www.breitbart.com/big-government/2018/09/12/hillary-clinton-pushes-kamala-harriss-debunked-kavanaugh-birth-control-smear/,https://media.breitbart.com/media/2018/02/Hillary-EWEL-SAMADAFPGetty-Images-.jpg
21,"Ian Hanchett, Ian Hanchett","On Thursday’s “Hugh Hewitt Show,” Senate Judiciary Committee member Senator Chris Coons (D-DE) stated that Supreme Court nominee Judge Brett Kavanaugh is “likely” to receive 50 votes or more for his confirmation in the Senate. While discussing the filibuster … [+376 chars]","On Thursday’s “Hugh Hewitt Show,” Senate Judiciary Committee member Senator Chris Coons (D-DE) stated that Supreme Court nominee Judge Brett Kavanaugh is “likely” to receive 50 votes or more for his confirmation in the Senate. While discussing the filibuster …",right,2018-09-13T15:28:38Z,breitbart-news,Breitbart News,Dem Sen Coons: 'Likely' Kavanaugh Will Get 50 Votes or More,https://www.breitbart.com/video/2018/09/13/dem-sen-coons-likely-kavanaugh-will-get-50-votes-or-more/,https://media.breitbart.com/media/2017/04/Coons-43-Thumbnail.jpg
22,"Ian Hanchett, Ian Hanchett","On Wednesday’s broadcast of MSNBC’s “Hardball,” host Chris Matthews raised a scenario where Supreme Court nominee Judge Brett Kavanaugh, and his accuser, Dr. Christine Blasey Ford, gives an interview right before the 2018 elections, “and it’s deadly, it’s dea… [+751 chars]","On Wednesday’s broadcast of MSNBC’s “Hardball,” host Chris Matthews raised a scenario where Supreme Court nominee Judge Brett Kavanaugh, and his accuser, Dr. Christine Blasey Ford, gives an interview right before the 2018 elections, “and it’s deadly, it’s dea…",right,2018-09-20T02:35:23Z,breitbart-news,Breitbart News,Matthews: GOP Should Think of Possibility Ford Does Interview Right Before Election,https://www.breitbart.com/video/2018/09/19/matthews-gop-should-think-of-possibility-ford-does-interview-right-before-election/,https://media.breitbart.com/media/2017/03/Matthews-31-Thumbnail.jpg
23,"Trent Baker, Trent Baker","Count Sen. Chris Coons (D-DE) as a “no” on Supreme Court justice nominee Brett Kavanaugh’s confirmation. Coons, a member of the Judiciary Committee, said on MSNBC’s “Morning Joe” Tuesday that he has “already heard enough” of the nominee’s “extreme views on pr… [+1099 chars]","Count Sen. Chris Coons (D-DE) as a “no” on Supreme Court justice nominee Brett Kavanaugh’s confirmation. Coons, a member of the Judiciary Committee, said on MSNBC’s “Morning Joe” Tuesday that he has “already heard enough” of the nominee’s “extreme views on pr…",right,2018-09-18T14:22:38Z,breitbart-news,Breitbart News,Dem Sen Coons on Kavanaugh: 'I Already Have Heard Enough' for a 'No' Vote,https://www.breitbart.com/video/2018/09/18/dem-sen-coons-on-kavanaugh-i-already-have-heard-enough-for-a-no-vote/,https://media.breitbart.com/media/2018/09/coons.jpg
24,"Trent Baker, Trent Baker","Missouri Attorney General Josh Hawley, the Republican U.S. Senate candidate running against incumbent Sen. Claire McCaskill (D-MO), offered his thoughts Wednesday on Supreme Court associate justice nominee Brett Kavanaugh vote, saying if his sexual misconduct… [+1411 chars]","Missouri Attorney General Josh Hawley, the Republican U.S. Senate candidate running against incumbent Sen. Claire McCaskill (D-MO), offered his thoughts Wednesday on Supreme Court associate justice nominee Brett Kavanaugh vote, saying if his sexual misconduct…",right,2018-09-19T14:41:52Z,breitbart-news,Breitbart News,Missouri AG Josh Hawley: Kavanaugh Vote Should Move Forward if Ford Doesn't Want to Testify,https://www.breitbart.com/video/2018/09/19/missouri-ag-josh-hawley-kavanaugh-vote-should-move-forward-if-dr-ford-doesnt-want-to-testify/,https://media.breitbart.com/media/2018/06/Hawley616.jpg
25,"Jeff Poor, Jeff Poor","Monday on his nationally syndicated radio show, conservative talker Rush Limbaugh warned congressional Republicans against folding on the confirmation of Supreme Court associate justice nominee Brett Kavanaugh. According to Limbaugh, if Republicans do fail to… [+1775 chars]","Monday on his nationally syndicated radio show, conservative talker Rush Limbaugh warned congressional Republicans against folding on the confirmation of Supreme Court associate justice nominee Brett Kavanaugh. According to Limbaugh, if Republicans do fail to…",right,2018-09-24T17:54:57Z,breitbart-news,Breitbart News,"Limbaugh: If GOP Does Not Get Kavanaugh Confirmed, Kiss the Midterms Goodbye",https://www.breitbart.com/video/2018/09/24/limbaugh-if-gop-does-not-get-kavanaugh-confirmed-kiss-the-midterms-goodbye/,https://media.breitbart.com/media/2018/02/Limbaugh22.jpg
26,"Sean Moran, Sean Moran","A Fox News poll released on Wednesday found that Braun leads over Donnelly–45 to 43 percent—while Libertarian candidate Lucy Brenton has three percent support and eight percent of Indianans remain undecided. The margin of error for the survey is 3.5 percent, … [+2592 chars]","Hoosier businessman Mike Braun leads Sen. Joe Donnelly (D-IN) in the Indiana senate race, according to a Fox News poll released Wednesday.",right,2018-09-13T00:21:57Z,breitbart-news,Breitbart News,Poll: Mike Braun Leading Joe Donnelly in Indiana Senate Race,https://www.breitbart.com/big-government/2018/09/12/poll-mike-braun-leading-joe-donnelly-in-indiana-senate-race/,https://media.breitbart.com/media/2018/09/Joe-Donnelly-Mike-Braun-GettyAP-Images.jpg
27,Tony Lee,"Former Secretary of State and National Security Adviser Condoleeza Rice, Sen. Rob Portman (R-OH), and attorney Lisa Blatt will introduce Kavanaugh on Tuesday before Kavanaugh gives his opening statement. Senators will give their remarks on Tuesday before ques… [+6740 chars]","The Senate Judiciary Committee on Tuesday will begin its confirmation hearings for Brett Kavanaugh. If confirmed, Kavanaugh will replace retiring Supreme Court Justice Anthony Kennedy. In his opening statement, Kavanaugh, echoing Supreme Court Chief Justice J…",right,2018-09-04T13:51:01Z,breitbart-news,Breitbart News,***Live Updates*** Brett Kavanaugh Confirmation Hearings,https://www.breitbart.com/big-government/2018/09/04/live-updates-brett-kavanaugh-confirmation-hearings/,https://media.breitbart.com/media/2018/08/wi/ap/27/329f1b_supreme-court-kavanaugh-counterterrorism-97405-brett-kavanaugh-in-aug.jpg
28,Tony Lee,Stay tuned to Breitbart News for live updates. All times eastern. — 9:35: Kavanaugh takes his seat as Grassley gavels in the hearing. He points out that Democrats interrupted the hearing 63 times as agitators again start screaming and trying to interrupt the … [+325 chars],Senators will question Supreme Court nominee Brett Kavanaugh on Wednesday a day after Democrats and left-wing agitators repeatedly interrupted Tuesday’s hearings. Senators will get 30 minutes to question Kavanaugh in the first round and another 20 minutes in …,right,2018-09-05T13:38:17Z,breitbart-news,Breitbart News,***Live Updates*** Senators Question Brett Kavanaugh,https://www.breitbart.com/big-government/2018/09/05/live-updates-senators-question-brett-kavanaugh/,https://media.breitbart.com/media/2018/09/bb-KavanaughConfirmations-featuredimage-640x480-v1.jpg
29,Tony Lee,Stay tuned to Breitbart News for live updates. All times eastern. — 10:01 AM: Tarpley says he did not see a “pattern” in Kavanaugh’s decision except for “allegiance to the law” and “adherence to precedence” in response to Whitehouse’s questions. 9:55 AM: Sena… [+1906 chars],The confirmation hearings for Supreme Court nominee Brett Kavanaugh wrap up today as character witnesses will testify for and against Kavanaugh’s nomination. Stay tuned to Breitbart News for live updates. All times eastern.,right,2018-09-07T14:02:32Z,breitbart-news,Breitbart News,***Live Updates*** Brett Kavanaugh Confirmation Hearings Conclude,https://www.breitbart.com/big-government/2018/09/07/live-updates-brett-kavanaugh-confirmation-hearings-conclude/,https://media.breitbart.com/media/2018/09/bb-KavanaughConfirmations-featuredimage-640x480-v1.jpg
30,Joshua Caplan,"TAPPER : I remember as a young campaign reporter asking then-Governor George W. Bush a hypothetical and he said ‘I’m not gonna walk through a minefield of hypotheticals,’ and that’s exactly what Brett Kavanaugh did. He avoided walking through any sort of the … [+1161 chars]",CNN's Jake Tapper argues Supreme Court nominee Brett Kavanaugh has yet to give Democrats a reason to vote against him.,right,2018-09-05T22:38:37Z,breitbart-news,Breitbart News,Jake Tapper: Kavanaugh Hasn’t Given Democrats Reason Not to Vote for Him,https://www.breitbart.com/big-journalism/2018/09/05/jake-tapper-kavanaugh-hasnt-given-democrats-reason-not-to-vote-for-him/,https://media.breitbart.com/media/2018/09/Kavanaugh-Tapper-CNN.jpg
31,Ian Mason,"The protesters stood, shouted, and waived signs in the crowded Senate Judiciary Committee hearing room. Some of the shouts of those trying to interrupt the proceedings from the gallery echoed the same arguments from Democrats trying to derail them from the da… [+3220 chars]",The Senate confirmation hearings of Supreme Court nominee Judge Brett Kavanaugh had a noisy start Tuesday as U.S. Capitol Police arrested more than 22 activists opposed to Kavanaugh for disorderly conduct.,right,2018-09-04T16:09:02Z,breitbart-news,Breitbart News,U.S. Capitol Police Arrest 22+ at Kavanaugh Hearing,https://www.breitbart.com/big-government/2018/09/04/u-s-capitol-police-arrest-22-at-kavanaugh-hearing/,https://media.breitbart.com/media/2018/09/Kavanaugh.png
32,Neil Munro,"Here is one of the Tweets, with more than 1.2 million views, which suggested the aide to Kavanaugh’s left is flashing a supposed white power sign. The supposed sign is made by linking the thumb with the index finger and extending the other fingers, just like … [+4215 chars]",Progressives rushed to share a Tweet which suggested that an aide for Judge Brett Kavanaugh is a closeted white-supremacist.,right,2018-09-05T02:05:20Z,breitbart-news,Breitbart News,Desperate Progressives Smear Kavanaugh Aide as White Supremacist,https://www.breitbart.com/big-government/2018/09/04/desperate-progressives-smear-kavanaugh-aide-as-white-supremacist/,https://media.breitbart.com/media/2018/09/GettyImages-1026647242.jpg
33,AWR Hawkins,"Those Senators – Tammy Baldwin (D-WI), Bob Casey (D-PA), Joe Donnelly (D-IN), Heidi Heitkamp (D-ND), Joe Manchin (D-WV), Claire McCaskill (D-MO), Bill Nelson (D-FL), Jon Tester (D-Mont.), Sherrod Brown (D-OH), and Sen. Debbie Stabenow (D-MI) – must choose whe… [+1872 chars]",Senate Democrats representing red states are under pressure with confirmation hearings under way for pro-Second Amendment nominee Brett Kavanaugh.,right,2018-09-05T02:01:57Z,breitbart-news,Breitbart News,Red State Democrat Senators Under Pressure on Pro-Gun Kavanaugh Hearings,https://www.breitbart.com/big-government/2018/09/04/red-state-democrat-senators-under-pressure-on-pro-gun-kavanaugh-hearings/,https://media.breitbart.com/media/2018/09/Feinstein-Kavanaugh.png
34,Michelle Moons,"Several members of the Senate Judiciary Committee questioned Kavanaugh on his position with regard to the historic abortion case and on its precedent, as it would affect his rulings should he be confirmed as a Supreme Court Justice. This was the second day of… [+5718 chars]",Supreme Court nominee Brett Kavanaugh defined several times his position on the precedent set by Roe v. Wade on abortion in Senate Judiciary Committee hearing Wednesday.,right,2018-09-06T05:05:44Z,breitbart-news,Breitbart News,Kavanaugh Defines Roe v. Wade Stance Repeatedly in Supreme Court Confirmation Hearing,https://www.breitbart.com/big-government/2018/09/05/kavanaugh-defines-roe-v-wade-stance-repeatedly-in-supreme-court-confirmation-hearing/,https://media.breitbart.com/media/2018/09/Kavanaugh-Listening.png
35,Dr. Susan Berry,Netflix’s Insatiable star Alyssa Milano thanked senators this week who said they’d refused to meet with Kavanaugh after former Trump lawyer Michael Cohen pleaded guilty to campaign finance violations and for Trump campaign chair Paul Manafort was convicted of… [+7339 chars],"Hollywood celebrities and left-wing politicians are taking to Twitter to smear President Donald Trump’s Supreme Court nominee, Brett Kavanaugh, and to threaten to hold back funding from any U.S. senator who is considering to vote to confirm him.",right,2018-08-24T20:50:03Z,breitbart-news,Breitbart News,The Hollywood Elites Behind the Brett Kavanaugh Smear Campaign,https://www.breitbart.com/big-hollywood/2018/08/24/brett-kavanaugh-smear-campaign-pushed-by-hollywood/,https://media.breitbart.com/media/2018/08/Celebssmearkavanaugh1.jpg
36,Justin Caruso,"“A vote for kavanaugh is a vote to kill women with back alley abortions – come on collins – stand up for women,” Rosie O’Donnell wrote, adding the hashtags “Stop Kavanaugh” and “women 4 women.” a vote for kavanaugh is a vote to kill women with back alley abor… [+1468 chars]","Actress Rosie O'Donnell tweeted Friday that a vote confirming Judge Brett Kavanaugh for the Supreme Court is ""a vote to kill women with back alley abortions.""",right,2018-09-07T18:14:01Z,breitbart-news,Breitbart News,Rosie O’Donnell: ‘A Vote for Kavanaugh Is a Vote to Kill Women’,https://www.breitbart.com/big-hollywood/2018/09/07/rosie-odonnell-vote-kavanaugh-a-vote-to-kill-women/,https://media.breitbart.com/media/2018/09/Rosie-ODonnell-in-Drop-Dead-Diva-2009.jpg
